16 22106 83718
0 0     -3.859900e+02 3.871200e+02
5 1045     9.981000e+01 -2.757900e+02
7 1045     -5.111700e+02 4.119700e+02
8 1045     -3.959200e+02 7.854001e+01
10 1045     -4.935000e+02 5.675200e+02
11 1045     -1.201500e+02 -3.706000e+02
12 1045     -6.206700e+02 3.204000e+02
13 1045     -4.871997e+01 5.419000e+01
14 1045     1.678998e+01 -3.663500e+02
0 1046     -5.196700e+02 2.803400e+02
1 1046     -1.886400e+02 4.219000e+02
5 1046     -1.314100e+02 -3.821800e+02
7 1046     -7.239200e+02 2.768400e+02
10 1046     -7.482200e+02 4.247600e+02
14 1046     -2.122400e+02 -4.785800e+02
15 1046     -7.739200e+02 4.509500e+02
0 1047     -3.146500e+02 4.128500e+02
1 1047     3.781000e+01 5.001500e+02
7 1047     -5.297300e+02 4.431200e+02
8 1047     -4.090600e+02 1.090500e+02
10 1047     -5.149300e+02 6.051500e+02
12 1047     -6.422900e+02 3.575900e+02
0 1048     -4.552300e+02 3.607700e+02
1 1048     -1.109600e+02 4.832300e+02
7 1048     -6.679100e+02 3.711300e+02
8 1048     -5.285200e+02 5.448999e+01
10 1048     -6.810800e+02 5.286200e+02
11 1048     -2.583600e+02 -3.879300e+02
0 1049     -2.756200e+02 4.454600e+02
1 1049     8.366998e+01 5.225300e+02
5 1049     1.313100e+02 -2.074900e+02
7 1049     -4.940300e+02 4.823200e+02
8 1049     -3.772300e+02 1.414800e+02
0 1050     -2.971100e+02 4.434100e+02
1 1050     6.162000e+01 5.256900e+02
2 1050     -5.787000e+02 1.922700e+02
5 1050     1.095600e+02 -2.097100e+02
7 1050     -5.162600e+02 4.773400e+02
12 1050     -6.271800e+02 3.977200e+02
14 1050     2.485999e+01 -3.007800e+02
0 1051     -1.560800e+02 3.354300e+02
1 1051     1.765601e+02 3.841800e+02
7 1051     -3.597200e+02 3.796800e+02
11 1051     9.760010e+00 -4.129600e+02
14 1051     1.565200e+02 -4.165100e+02
15 1051     -2.772300e+02 5.745200e+02
0 1052     -2.405000e+02 4.504400e+02
1 1052     1.193800e+02 5.184300e+02
2 1052     -5.208600e+02 2.016300e+02
5 1052     1.655100e+02 -2.034300e+02
7 1052     -4.594600e+02 4.902900e+02
11 1052     -6.595001e+01 -3.110900e+02
12 1052     -5.628700e+02 4.141300e+02
14 1052     8.004999e+01 -2.931400e+02
0 1053     -2.155500e+02 2.253400e+02
1 1053     8.248999e+01 2.937300e+02
11 1053     -5.064001e+01 -5.163199e+02
0 1054     -2.993900e+02 4.208000e+02
1 1054     5.428003e+01 5.038600e+02
2 1054     -5.805700e+02 1.638000e+02
5 1054     1.047900e+02 -2.336000e+02
7 1054     -5.155200e+02 4.530800e+02
10 1054     -4.977100e+02 6.152900e+02
11 1054     -1.182400e+02 -3.368300e+02
12 1054     -6.259600e+02 3.692900e+02
14 1054     2.090997e+01 -3.246800e+02
0 1055     -2.251000e+02 4.544100e+02
1 1055     1.358900e+02 5.190100e+02
2 1055     -5.058200e+02 2.056600e+02
7 1055     -4.445900e+02 4.972000e+02
0 1056     -2.186700e+02 3.837000e+02
1 1056     1.255100e+02 4.484100e+02
4 1056     -3.632001e+01 -2.226200e+02
14 1056     9.769000e+01 -3.632200e+02
0 1057     -1.672400e+02 3.633500e+02
1 1057     1.720500e+02 4.147300e+02
2 1057     -4.427300e+02 9.409003e+01
5 1057     2.312400e+02 -2.976200e+02
7 1057     -3.741600e+02 4.082300e+02
8 1057     -2.836800e+02 6.509000e+01
13 1057     5.750000e+01 4.378998e+01
0 1058     -3.282300e+02 4.206700e+02
1 1058     2.595001e+01 5.104200e+02
2 1058     -6.105400e+02 1.632400e+02
5 1058     7.640997e+01 -2.335100e+02
7 1058     -5.449500e+02 4.495300e+02
10 1058     -5.335900e+02 6.130700e+02
12 1058     -6.595200e+02 3.640400e+02
13 1058     -6.991998e+01 8.645001e+01
14 1058     -7.320007e+00 -3.250800e+02
0 1059     -3.768000e+02 4.244100e+02
1 1059     -2.038000e+01 5.260400e+02
2 1059     -6.623000e+02 1.684000e+02
7 1059     -5.960200e+02 4.485500e+02
10 1059     -5.936200e+02 6.140200e+02
11 1059     -1.855900e+02 -3.326200e+02
12 1059     -7.178300e+02 3.625200e+02
14 1059     -5.415002e+01 -3.212400e+02
0 1060     -4.952300e+02 3.796100e+02
1 1060     -1.439600e+02 5.106800e+02
14 1060     -1.755300e+02 -3.688600e+02
0 1061     -3.640100e+02 3.071900e+02
1 1061     -3.520001e+01 4.096800e+02
7 1061     -5.657500e+02 3.250700e+02
10 1061     -5.601400e+02 4.703200e+02
13 1061     -1.022000e+02 -1.363000e+01
14 1061     -5.357001e+01 -4.488900e+02
15 1061     -5.610000e+02 5.082400e+02
0 1062     -3.324200e+02 2.079700e+02
1 1062     -3.425000e+01 3.074300e+02
7 1062     -5.136800e+02 2.290100e+02
8 1062     -3.957000e+02 -8.112000e+01
10 1062     -5.081200e+02 3.535100e+02
13 1062     -6.390997e+01 -9.778998e+01
14 1062     -1.185999e+01 -5.592400e+02
0 1063     -7.641700e+02 4.679993e+00
1 1063     -4.868100e+02 2.287100e+02
0 1064     -7.930800e+02 1.850000e+01
1 1064     -5.051500e+02 2.482000e+02
0 1065     -8.141800e+02 -7.800293e-01
1 1065     -5.285900e+02 2.364300e+02
0 1066     -2.028600e+02 3.778900e+02
1 1066     1.397200e+02 4.360400e+02
2 1066     -4.797000e+02 1.132200e+02
5 1066     1.977100e+02 -2.796700e+02
7 1066     -4.105500e+02 4.202800e+02
8 1066     -3.134500e+02 7.912000e+01
11 1066     -3.247998e+01 -3.748600e+02
12 1066     -5.067700e+02 3.335200e+02
13 1066     2.909998e+01 5.446002e+01
14 1066     1.123400e+02 -3.703200e+02
0 1067     -1.930900e+02 4.649800e+02
1 1067     1.702000e+02 5.216600e+02
2 1067     -4.741700e+02 2.181800e+02
7 1067     -4.137900e+02 5.111600e+02
0 1068     -3.839200e+02 4.360300e+02
1 1068     -2.475000e+01 5.393500e+02
2 1068     -6.686900e+02 1.830400e+02
12 1068     -7.277500e+02 3.766000e+02
0 1069     -2.472800e+02 4.457100e+02
1 1069     1.117700e+02 5.159900e+02
2 1069     -5.276000e+02 1.949500e+02
5 1069     1.588500e+02 -2.076500e+02
7 1069     -4.657200e+02 4.852300e+02
12 1069     -5.696500e+02 4.079700e+02
14 1069     7.339001e+01 -2.978300e+02
0 1070     -2.705600e+02 4.422100e+02
1 1070     8.735999e+01 5.181100e+02
2 1070     -5.514800e+02 1.902300e+02
4 1070     1.419983e+00 -1.990600e+02
5 1070     1.355000e+02 -2.115600e+02
7 1070     -4.889800e+02 4.788200e+02
8 1070     -3.747700e+02 1.369900e+02
12 1070     -5.963200e+02 4.000200e+02
13 1070     -2.403998e+01 1.072100e+02
14 1070     5.026001e+01 -3.019200e+02
0 1071     -2.181200e+02 4.644800e+02
1 1071     1.452100e+02 5.271700e+02
2 1071     -4.989900e+02 2.181700e+02
4 1071     1.001001e+01 -2.306900e+02
5 1071     1.894100e+02 -1.881100e+02
7 1071     -4.384600e+02 5.081300e+02
8 1071     -3.297300e+02 1.612000e+02
11 1071     -4.545001e+01 -2.985800e+02
12 1071     -5.394700e+02 4.353900e+02
0 1072     -2.936100e+02 1.866200e+02
1 1072     -5.630005e+00 2.773500e+02
7 1072     -4.683000e+02 2.143800e+02
0 1073     -4.469100e+02 2.484400e+02
1 1073     -1.277100e+02 3.739800e+02
7 1073     -6.442600e+02 2.514900e+02
11 1073     -2.585300e+02 -4.899200e+02
13 1073     -1.732900e+02 -6.972998e+01
14 1073     -1.463800e+02 -5.154800e+02
0 1074     -3.167800e+02 1.945600e+02
1 1074     -2.423999e+01 2.908200e+02
13 1074     -4.663000e+01 -1.080200e+02
0 1075     -3.393600e+02 3.764600e+02
1 1075     4.809998e+00 4.706800e+02
2 1075     -6.212400e+02 1.073800e+02
7 1075     -5.502300e+02 4.015600e+02
10 1075     -5.401900e+02 5.574800e+02
11 1075     -1.550900e+02 -3.755300e+02
12 1075     -6.652900e+02 3.075700e+02
0 1076     -1.851200e+02 4.395500e+02
1 1076     1.723000e+02 4.947700e+02
5 1076     2.193500e+02 -2.144400e+02
7 1076     -4.021300e+02 4.856500e+02
8 1076     -3.026100e+02 1.376500e+02
12 1076     -4.980600e+02 4.099900e+02
0 1077     -1.851200e+02 4.395500e+02
1 1077     1.723000e+02 4.947700e+02
2 1077     -4.649600e+02 1.875200e+02
5 1077     2.193500e+02 -2.144400e+02
7 1077     -4.021300e+02 4.856500e+02
12 1077     -4.980600e+02 4.099900e+02
0 1078     -3.047600e+02 3.565500e+02
1 1078     3.381000e+01 4.429600e+02
5 1078     9.282001e+01 -3.032400e+02
7 1078     -5.120400e+02 3.847700e+02
8 1078     -3.989100e+02 5.314001e+01
10 1078     -4.951300e+02 5.357600e+02
12 1078     -6.212500e+02 2.884100e+02
14 1078     1.031000e+01 -3.939100e+02
0 1079     -1.914700e+02 3.419300e+02
1 1079     1.428101e+02 3.996500e+02
2 1079     -4.663900e+02 6.602002e+01
5 1079     2.052600e+02 -3.213800e+02
7 1079     -3.952800e+02 3.825000e+02
8 1079     -3.026400e+02 4.223001e+01
12 1079     -4.884900e+02 2.879400e+02
15 1079     -3.268300e+02 5.793500e+02
0 1080     -2.149700e+02 4.000900e+02
1 1080     1.330100e+02 4.632100e+02
2 1080     -4.930200e+02 1.389000e+02
4 1080     -2.651001e+01 -2.258700e+02
5 1080     1.867800e+02 -2.567900e+02
7 1080     -4.269200e+02 4.409700e+02
8 1080     -3.249300e+02 9.916000e+01
10 1080     -3.924900e+02 5.971300e+02
11 1080     -4.375000e+01 -3.549000e+02
12 1080     -5.250600e+02 3.569000e+02
13 1080     2.027002e+01 7.384003e+01
14 1080     1.024200e+02 -3.457100e+02
0 1081     -3.383800e+02 4.730500e+02
1 1081     2.803998e+01 5.646200e+02
2 1081     -6.221700e+02 2.291200e+02
5 1081     7.210999e+01 -1.773800e+02
7 1081     -5.632100e+02 5.046500e+02
14 1081     -1.271997e+01 -2.696200e+02
0 1082     -2.904100e+02 4.371500e+02
1 1082     6.702002e+01 5.177300e+02
2 1082     -5.716400e+02 1.841400e+02
7 1082     -5.085500e+02 4.714800e+02
8 1082     -3.893900e+02 1.329800e+02
12 1082     -6.183200e+02 3.907200e+02
13 1082     -3.933002e+01 1.022700e+02
14 1082     3.104999e+01 -3.074100e+02
0 1083     -3.383800e+02 4.730500e+02
1 1083     2.803998e+01 5.646200e+02
2 1083     -6.221700e+02 2.291200e+02
5 1083     7.210999e+01 -1.773800e+02
7 1083     -5.632100e+02 5.046500e+02
14 1083     -1.271997e+01 -2.696200e+02
0 1084     -2.919700e+02 3.973300e+02
1 1084     5.553003e+01 4.790900e+02
4 1084     -2.182001e+01 -1.835800e+02
5 1084     1.111900e+02 -2.591600e+02
8 1084     -3.876800e+02 9.512000e+01
11 1084     -1.125700e+02 -3.577700e+02
13 1084     -4.078003e+01 6.808002e+01
14 1084     2.728998e+01 -3.495800e+02
0 1085     -2.859800e+02 3.706700e+02
1 1085     5.592999e+01 4.519300e+02
5 1085     1.133100e+02 -2.880200e+02
7 1085     -4.939700e+02 4.022700e+02
8 1085     -3.825700e+02 6.873001e+01
10 1085     -4.735900e+02 5.552200e+02
13 1085     -3.703003e+01 4.526001e+01
14 1085     3.073999e+01 -3.781600e+02
0 1086     -2.610000e+02 4.514500e+02
1 1086     9.928998e+01 5.247300e+02
11 1086     -8.377002e+01 -3.099300e+02
12 1086     -5.865100e+02 4.125000e+02
14 1086     6.034998e+01 -2.921900e+02
0 1087     -2.246700e+02 3.929200e+02
1 1087     1.217000e+02 4.583100e+02
2 1087     -5.020700e+02 1.295900e+02
7 1087     -4.352300e+02 4.324100e+02
8 1087     -3.327200e+02 9.167999e+01
10 1087     -4.029800e+02 5.871300e+02
11 1087     -5.232001e+01 -3.612800e+02
12 1087     -5.348100e+02 3.461600e+02
0 1088     -2.899100e+02 3.551900e+02
1 1088     4.854999e+01 4.375100e+02
5 1088     1.077600e+02 -3.057800e+02
7 1088     -4.963800e+02 3.851000e+02
10 1088     -4.765900e+02 5.348900e+02
13 1088     -4.060999e+01 3.048999e+01
14 1088     2.525000e+01 -3.964500e+02
0 1089     -2.610000e+02 4.514500e+02
1 1089     9.928998e+01 5.247300e+02
2 1089     -5.415900e+02 2.015700e+02
5 1089     1.457900e+02 -2.019400e+02
7 1089     -4.805500e+02 4.894600e+02
8 1089     -3.650900e+02 1.471700e+02
11 1089     -8.377002e+01 -3.099300e+02
12 1089     -5.865100e+02 4.125000e+02
14 1089     6.034998e+01 -2.921900e+02
0 1090     -2.603400e+02 4.378200e+02
1 1090     9.665997e+01 5.113600e+02
7 1090     -4.780700e+02 4.756800e+02
12 1090     -5.835200e+02 3.964400e+02
14 1090     6.007001e+01 -3.062400e+02
0 1091     -3.210500e+02 3.504600e+02
1 1091     1.646997e+01 4.405500e+02
2 1091     -6.014200e+02 7.427002e+01
7 1091     -5.280500e+02 3.762500e+02
10 1091     -5.141100e+02 5.268400e+02
12 1091     -6.393200e+02 2.779300e+02
14 1091     -6.359985e+00 -4.010600e+02
15 1091     -5.087100e+02 5.745400e+02
0 1092     -4.260000e+02 4.130900e+02
1 1092     -7.048999e+01 5.266300e+02
2 1092     -7.154000e+02 1.535600e+02
5 1092     -2.066998e+01 -2.398500e+02
8 1092     -5.056300e+02 1.067300e+02
13 1092     -1.483300e+02 7.628998e+01
14 1092     -1.035600e+02 -3.330900e+02
0 1093     -3.669600e+02 3.336200e+02
1 1093     -3.196997e+01 4.359000e+02
7 1093     -5.727300e+02 3.527000e+02
10 1093     -5.674500e+02 5.020000e+02
13 1093     -1.035500e+02 9.219971e+00
14 1093     -5.369000e+01 -4.196000e+02
15 1093     -5.700400e+02 5.451000e+02
0 1094     -3.787500e+02 3.142200e+02
1 1094     -4.746997e+01 4.204400e+02
5 1094     1.335999e+01 -3.488700e+02
7 1094     -5.820000e+02 3.308700e+02
10 1094     -5.795400e+02 4.774900e+02
11 1094     -1.929300e+02 -4.307600e+02
15 1094     -5.831200e+02 5.163200e+02
0 1095     -3.797200e+02 2.986400e+02
1 1095     -5.223999e+01 4.052600e+02
7 1095     -5.809500e+02 3.137200e+02
10 1095     -5.779800e+02 4.578300e+02
13 1095     -1.150700e+02 -2.258002e+01
15 1095     -5.815200e+02 4.951000e+02
0 1096     -2.847500e+02 3.534100e+02
1 1096     5.302002e+01 4.344200e+02
5 1096     1.125500e+02 -3.074900e+02
7 1096     -4.910400e+02 3.837300e+02
8 1096     -3.811100e+02 5.057999e+01
10 1096     -4.705100e+02 5.334300e+02
11 1096     -1.069900e+02 -3.961900e+02
12 1096     -5.971700e+02 2.867200e+02
0 1097     -2.329900e+02 4.417800e+02
1 1097     1.248300e+02 5.082900e+02
2 1097     -5.134900e+02 1.915800e+02
4 1097     -1.719971e+00 -2.199400e+02
5 1097     1.722600e+02 -2.124200e+02
8 1097     -3.417000e+02 1.382900e+02
11 1097     -5.931000e+01 -3.181500e+02
12 1097     -5.530700e+02 4.046400e+02
13 1097     6.270020e+00 1.092300e+02
14 1097     8.696997e+01 -3.011400e+02
0 1098     -4.332000e+02 4.502900e+02
1 1098     -6.913000e+01 5.632400e+02
5 1098     -2.284998e+01 -2.001200e+02
8 1098     -5.123800e+02 1.429600e+02
12 1098     -7.906600e+02 3.863700e+02
13 1098     -1.526600e+02 1.067600e+02
14 1098     -1.061900e+02 -2.936900e+02
0 1099     -2.324000e+02 4.496200e+02
1 1099     1.272500e+02 5.161700e+02
7 1099     -4.514500e+02 4.908800e+02
8 1099     -3.411600e+02 1.463300e+02
11 1099     -5.871002e+01 -3.115100e+02
13 1099     6.869995e+00 1.157000e+02
14 1099     8.783002e+01 -2.935600e+02
0 1100     -2.287500e+02 4.542400e+02
1 1100     1.322000e+02 5.195400e+02
2 1100     -5.090100e+02 2.041600e+02
4 1100     4.530029e+00 -2.236600e+02
5 1100     1.777700e+02 -1.999900e+02
8 1100     -3.386600e+02 1.507000e+02
11 1100     -5.545001e+01 -3.074400e+02
12 1100     -5.499200e+02 4.199100e+02
13 1100     9.979980e+00 1.194400e+02
14 1100     9.203003e+01 -2.891900e+02
0 1101     2.829999e+01 -2.527000e+02
1 1101     1.111600e+02 -2.244100e+02
2 1101     2.763600e+02 -2.391800e+02
3 1101     1.969301e+02 -5.376700e+02
4 1101     -4.657900e+02 -4.292500e+02
6 1101     9.113000e+01 -2.600800e+02
7 1101     -1.203998e+01 -1.341300e+02
8 1101     2.475400e+02 -2.469400e+02
9 1101     1.342100e+02 -1.013900e+02
12 1101     9.209003e+01 -2.160100e+02
13 1101     4.289301e+02 -4.440900e+02
15 1101     3.746997e+01 -2.012700e+02
0 1102     -8.066998e+01 -2.277800e+02
1 1102     2.253998e+01 -1.681300e+02
4 1102     -4.261300e+02 -3.364900e+02
6 1102     -6.256000e+01 -2.848199e+02
7 1102     -1.312700e+02 -1.338900e+02
12 1102     -5.979999e+01 -2.325100e+02
15 1102     -1.111000e+02 -1.816300e+02
0 1103     4.229980e+00 -2.477800e+02
1 1103     9.120001e+01 -2.127300e+02
6 1103     6.117999e+01 -2.639600e+02
7 1103     -3.753003e+01 -1.338400e+02
9 1103     1.099000e+02 -1.053900e+02
10 1103     -6.247998e+01 -1.447400e+02
12 1103     6.029999e+01 -2.184700e+02
13 1103     4.057400e+02 -4.417700e+02
15 1103     4.570007e+00 -1.976300e+02
0 1104     -7.720001e+01 -2.337100e+02
1 1104     2.445001e+01 -1.748200e+02
6 1104     -5.760999e+01 -2.920800e+02
8 1104     1.260800e+02 -2.753900e+02
9 1104     1.217999e+01 -1.427000e+02
12 1104     -5.434003e+01 -2.404900e+02
13 1104     3.187200e+02 -4.404399e+02
15 1104     -1.051600e+02 -1.897900e+02
0 1105     2.338000e+01 -2.608000e+02
1 1105     1.051300e+02 -2.309900e+02
4 1105     -4.714500e+02 -4.230100e+02
10 1105     -3.906000e+01 -1.572700e+02
15 1105     3.214001e+01 -2.128200e+02
0 1106     -2.195400e+02 4.963000e+02
1 1106     1.512700e+02 5.592800e+02
2 1106     -5.015200e+02 2.558700e+02
5 1106     1.900000e+02 -1.546200e+02
7 1106     -4.444300e+02 5.415900e+02
8 1106     -3.327300e+02 1.909200e+02
12 1106     -5.465900e+02 4.742200e+02
0 1107     -1.976100e+02 4.003500e+02
1 1107     1.506400e+02 4.592100e+02
2 1107     -4.753700e+02 1.398200e+02
5 1107     2.040699e+02 -2.561500e+02
7 1107     -4.094000e+02 4.438900e+02
8 1107     -3.104300e+02 1.002300e+02
10 1107     -3.714800e+02 5.988900e+02
12 1107     -5.054100e+02 3.606500e+02
14 1107     1.191600e+02 -3.463100e+02
0 1108     -1.852800e+02 4.464300e+02
1 1108     1.740300e+02 5.013800e+02
2 1108     -4.657700e+02 1.960000e+02
7 1108     -4.035100e+02 4.927800e+02
12 1108     -4.991100e+02 4.182300e+02
14 1108     1.334100e+02 -2.962400e+02
0 1109     -5.686100e+02 3.048600e+02
1 1109     -2.292300e+02 4.570700e+02
14 1109     -2.600900e+02 -4.501600e+02
15 1109     -8.489100e+02 4.785700e+02
0 1110     -3.717700e+02 3.349400e+02
1 1110     -3.633002e+01 4.384600e+02
4 1110     -5.022998e+01 -1.328300e+02
5 1110     2.313000e+01 -3.257800e+02
11 1110     -1.857300e+02 -4.123600e+02
13 1110     -1.072800e+02 1.037000e+01
14 1110     -5.821002e+01 -4.180100e+02
15 1110     -5.771200e+02 5.461800e+02
0 1111     -4.220900e+02 2.885300e+02
1 1111     -9.476001e+01 4.060100e+02
7 1111     -6.238000e+02 2.976400e+02
11 1111     -2.331700e+02 -4.529800e+02
12 1111     -7.503500e+02 1.803100e+02
0 1112     -4.552300e+02 3.607700e+02
1 1112     -1.109600e+02 4.832300e+02
5 1112     -5.448999e+01 -2.954600e+02
7 1112     -6.679100e+02 3.711300e+02
8 1112     -5.285200e+02 5.448999e+01
10 1112     -6.810800e+02 5.286200e+02
11 1112     -2.583600e+02 -3.879300e+02
12 1112     -8.007800e+02 2.700400e+02
0 1113     -3.848900e+02 3.502600e+02
1 1113     -4.544000e+01 4.564100e+02
4 1113     -4.033002e+01 -1.275300e+02
5 1113     1.177002e+01 -3.085200e+02
7 1113     -5.937800e+02 3.681400e+02
8 1113     -4.686200e+02 4.451001e+01
10 1113     -5.912700e+02 5.196900e+02
15 1113     -5.981800e+02 5.659500e+02
0 1114     -1.136800e+02 -1.646002e+01
1 1114     5.600000e+01 4.406000e+01
10 1114     -2.234300e+02 1.103200e+02
15 1114     -1.841700e+02 9.922000e+01
0 1115     2.543400e+02 -6.270001e+01
1 1115     3.939600e+02 -1.103300e+02
12 1115     2.817900e+02 6.834998e+01
15 1115     3.203800e+02 8.629999e+01
0 1116     1.487200e+02 -2.025800e+02
1 1116     2.413600e+02 -2.141100e+02
7 1116     9.954999e+01 -6.078003e+01
10 1116     9.984003e+01 -7.727002e+01
15 1116     1.934800e+02 -1.175200e+02
0 1117     2.673800e+02 -1.846600e+02
1 1117     3.679399e+02 -2.360100e+02
10 1117     2.342500e+02 -4.414001e+01
0 1118     1.969900e+02 -2.866400e+02
1 1118     2.674200e+02 -3.133200e+02
12 1118     2.929700e+02 -1.972600e+02
15 1118     2.716801e+02 -2.253400e+02
0 1119     -1.186000e+02 5.679993e+00
1 1119     5.995001e+01 6.614001e+01
6 1119     -2.108200e+02 -3.300000e+01
15 1119     -1.935700e+02 1.283400e+02
0 1120     -1.074700e+02 8.532999e+01
1 1120     1.020800e+02 1.380000e+02
6 1120     -2.604000e+02 5.091998e+01
7 1120     -2.252000e+02 1.687100e+02
10 1120     -2.279100e+02 2.295200e+02
12 1120     -2.159200e+02 1.055400e+02
15 1120     -1.872500e+02 2.381000e+02
0 1121     3.510800e+02 -5.694000e+01
1 1121     5.034800e+02 -1.374800e+02
7 1121     2.589000e+02 1.085000e+02
10 1121     3.182700e+02 1.116500e+02
12 1121     3.674600e+02 8.467999e+01
15 1121     4.551801e+02 1.069800e+02
0 1122     2.168199e+02 -2.115200e+02
1 1122     3.059800e+02 -2.452200e+02
6 1122     2.787600e+02 -1.419800e+02
7 1122     1.671500e+02 -5.763000e+01
10 1122     1.787000e+02 -8.067999e+01
12 1122     2.963000e+02 -1.047400e+02
15 1122     2.871300e+02 -1.209400e+02
0 1123     4.850000e+01 -1.284300e+02
1 1123     1.672800e+02 -1.102300e+02
15 1123     4.773999e+01 -3.028998e+01
0 1124     -2.634003e+01 -1.860900e+02
1 1124     7.733002e+01 -1.426700e+02
3 1124     1.230900e+02 -4.719200e+02
4 1124     -4.025000e+02 -3.901000e+02
6 1124     1.353998e+01 -1.990900e+02
7 1124     -7.683002e+01 -7.600000e+01
8 1124     1.861500e+02 -1.908700e+02
10 1124     -1.043800e+02 -7.695001e+01
12 1124     1.103003e+01 -1.489800e+02
0 1125     -7.459003e+01 -1.558200e+02
1 1125     4.353998e+01 -9.965002e+01
2 1125     1.272700e+02 -1.618500e+02
6 1125     -6.097998e+01 -1.870300e+02
7 1125     -1.327500e+02 -5.606000e+01
10 1125     -1.642800e+02 -4.753003e+01
12 1125     -6.265997e+01 -1.333400e+02
15 1125     -1.145200e+02 -8.403003e+01
0 1126     -1.816800e+02 4.013000e+01
1 1126     1.884998e+01 1.150300e+02
6 1126     -3.333000e+02 -2.778003e+01
7 1126     -2.936300e+02 1.103100e+02
10 1126     -3.096000e+02 1.692100e+02
15 1126     -2.817700e+02 1.663400e+02
0 1127     -1.982100e+02 -4.210900e+02
1 1127     -1.374800e+02 -3.145400e+02
4 1127     -5.583200e+02 -2.286200e+02
7 1127     -2.204800e+02 -3.562300e+02
15 1127     -2.418700e+02 -4.595100e+02
0 1128     2.043400e+02 1.025000e+01
1 1128     3.638600e+02 -2.151001e+01
2 1128     3.467500e+02 8.031000e+01
3 1128     2.422900e+02 -2.286700e+02
6 1128     1.834300e+02 9.428003e+01
7 1128     1.157900e+02 1.575200e+02
8 1128     3.189000e+02 1.845999e+01
10 1128     1.422900e+02 1.739500e+02
12 1128     2.095200e+02 1.413300e+02
13 1128     5.493700e+02 -1.958800e+02
15 1128     2.420200e+02 1.792100e+02
0 1129     7.245001e+01 2.287000e+02
1 1129     3.657300e+02 2.195500e+02
5 1129     5.200000e+02 -4.416600e+02
6 1129     -2.732700e+02 2.096200e+02
7 1129     -1.066700e+02 3.100200e+02
10 1129     -3.222998e+01 4.182300e+02
11 1129     2.204000e+02 -5.117800e+02
0 1130     2.294399e+02 -2.244000e+01
1 1130     3.799700e+02 -6.183002e+01
2 1130     3.796400e+02 5.100000e+01
3 1130     2.742800e+02 -2.557900e+02
7 1130     1.449000e+02 1.292500e+02
10 1130     1.746300e+02 1.386400e+02
13 1130     5.743600e+02 -2.224000e+02
15 1130     2.808500e+02 1.379300e+02
0 1131     6.270020e+00 1.627300e+02
1 1131     2.267000e+02 1.840300e+02
5 1131     5.970800e+02 -4.913300e+02
6 1131     -1.263000e+02 1.877700e+02
7 1131     -1.165300e+02 2.689700e+02
12 1131     -8.745001e+01 2.387900e+02
13 1131     3.388000e+02 -8.896002e+01
14 1131     5.008900e+02 -5.727500e+02
15 1131     -4.558002e+01 3.600900e+02
0 1132     5.584800e+02 6.017999e+01
1 1132     8.048900e+02 -9.384003e+01
6 1132     3.868400e+02 1.851900e+02
13 1132     7.711700e+02 -1.509900e+02
15 1132     7.419301e+02 2.962400e+02
0 1133     -1.641700e+02 -5.812000e+01
1 1133     -3.179993e+00 1.819000e+01
6 1133     -2.356000e+02 -1.214500e+02
7 1133     -2.491000e+02 2.077002e+01
10 1133     -2.777700e+02 5.615997e+01
12 1133     -2.207400e+02 -5.967999e+01
13 1133     2.178700e+02 -2.909800e+02
15 1133     -2.467100e+02 3.545001e+01
0 1134     1.582500e+02 -1.117800e+02
1 1134     2.807400e+02 -1.283200e+02
2 1134     3.487300e+02 -5.351001e+01
6 1134     1.768900e+02 -5.477002e+01
7 1134     9.128003e+01 2.933002e+01
8 1134     3.152000e+02 -9.306000e+01
10 1134     1.013900e+02 2.809003e+01
15 1134     1.948199e+02 6.739990e+00
0 1135     1.282400e+02 -2.364500e+02
1 1135     2.073500e+02 -2.399100e+02
6 1135     2.068800e+02 -1.951100e+02
7 1135     8.825000e+01 -9.596997e+01
13 1135     5.251899e+02 -4.162100e+02
15 1135     1.689200e+02 -1.660700e+02
0 1136     2.485300e+02 8.989999e+01
1 1136     4.390100e+02 4.347998e+01
6 1136     1.840600e+02 1.874300e+02
12 1136     2.218900e+02 2.315600e+02
13 1136     5.672000e+02 -1.275200e+02
15 1136     2.939700e+02 2.944700e+02
0 1137     1.822600e+02 -3.350400e+02
1 1137     2.431300e+02 -3.568000e+02
4 1137     -5.721600e+02 -5.497200e+02
6 1137     2.589800e+02 -3.121000e+02
7 1137     1.464399e+02 -1.916100e+02
9 1137     2.615601e+02 -1.622200e+02
10 1137     1.518200e+02 -2.249900e+02
12 1137     2.769100e+02 -2.795300e+02
13 1137     5.627900e+02 -5.142000e+02
15 1137     2.595400e+02 -2.929700e+02
0 1138     1.386300e+02 5.140002e+01
1 1138     3.103600e+02 3.914001e+01
7 1138     4.507001e+01 1.878600e+02
10 1138     6.166998e+01 2.156800e+02
12 1138     1.240400e+02 1.721600e+02
15 1138     1.464301e+02 2.264500e+02
0 1139     1.845601e+02 -1.734900e+02
1 1139     2.867500e+02 -1.972500e+02
2 1139     4.006000e+02 -1.051100e+02
10 1139     1.378200e+02 -3.944000e+01
12 1139     2.449600e+02 -7.009003e+01
13 1139     5.579800e+02 -3.575200e+02
15 1139     2.384301e+02 -7.340997e+01
0 1140     6.478998e+01 1.655200e+02
1 1140     2.846801e+02 1.703100e+02
